filename,action_lists_12_d_scaledup_results_10tries/.marginal_probability
inpi,4.8456866064919999e-17
ebjn,3.6798557122949997e-16
ibla,2.1104569895399999e-17
ibli,2.3013239075160003e-17
abkj,7.5633940485689993e-16
ifif,4.8935555479200002e-17
akdo,7.5633940050669994e-16
ihep,4.8521134447470004e-17
ifgp,4.8880526840359998e-17
inin,4.8142710822420007e-17
iaci,8.0028838677999999e-15
iacm,4.4161639719059996e-15
ipff,4.851381488841e-17
ihpe,1.940844020438e-16
aeea,2.533710136749e-15
eaea,4.2722559753250001e-14
eeee,1.1858738001439999e-14
aaaa,2.5356098263939999e-12
ipan,4.8449490181779994e-17
indd,2.8608032225607997e-16
iffa,4.5623148072979992e-16
akil,3.0752242813679999e-15
ebah,3.6798540886610004e-16
